vehicle_reg_No,MYT_TIMESTAMP,longitude,latitude
WA9451M,2023-09-07T05:41:05,101.705498,2.75208
WA9451M,2023-09-07T05:41:35,101.705498,2.75205
WA9451M,2023-09-07T05:42:05,101.705658,2.75205
WA9451M,2023-09-07T05:42:35,101.705658,2.75203
WA9451M,2023-09-07T05:43:05,101.705658,2.75213
WA9451M,2023-09-07T05:43:35,101.705658,2.75213
WA9451M,2023-09-07T05:44:05,101.705658,2.75215
WA9451M,2023-09-07T05:44:35,101.705658,2.75223
WA9451M,2023-09-07T05:45:05,101.705833,2.75232
WA9451M,2023-09-07T05:45:35,101.705833,2.75233
WA9451M,2023-09-07T05:46:05,101.705833,2.75228
WA9451M,2023-09-07T05:46:35,101.705833,2.75222
WA9451M,2023-09-07T05:47:05,101.705833,2.75225
WA9451M,2023-09-07T05:47:35,101.705833,2.75237
WA9451M,2023-09-07T05:48:05,101.706009,2.7523
WA9451M,2023-09-07T05:48:35,101.706009,2.75227
WA9451M,2023-09-07T05:49:05,101.706009,2.75222
WA9451M,2023-09-07T05:49:35,101.706009,2.75225
WA9451M,2023-09-07T05:50:05,101.706009,2.7523
WA9451M,2023-09-07T05:50:35,101.706009,2.75223
WA9451M,2023-09-07T05:51:05,101.706009,2.75227
WA9451M,2023-09-07T05:51:35,101.706009,2.7523
WA9451M,2023-09-07T05:52:05,101.706009,2.75232
WA9451M,2023-09-07T05:52:35,101.706841,2.7508
WA9451M,2023-09-07T05:53:05,101.708328,2.74852
WA9451M,2023-09-07T05:53:35,101.709671,2.74648
WA9451M,2023-09-07T05:54:05,101.711166,2.74678
WA9451M,2023-09-07T05:54:35,101.712662,2.748
WA9451M,2023-09-07T05:55:05,101.712662,2.7487
WA9451M,2023-09-07T05:55:35,101.712997,2.74855
WA9451M,2023-09-07T05:56:05,101.712997,2.74858
WA9451M,2023-09-07T05:56:35,101.712997,2.74853
WA9451M,2023-09-07T05:57:05,101.71283,2.7485
WA9451M,2023-09-07T05:57:35,101.71283,2.74845
WA9451M,2023-09-07T05:58:04,101.71283,2.74807
WA9451M,2023-09-07T05:58:34,101.71183,2.74727
WA9451M,2023-09-07T05:59:05,101.710999,2.74628
WA9451M,2023-09-07T05:59:35,101.710167,2.74525
WA9451M,2023-09-07T06:00:05,101.70916,2.74672
WA9451M,2023-09-07T06:00:34,101.707832,2.74857
WA9451M,2023-09-07T06:01:04,101.70649,2.7507
WA9451M,2023-09-07T06:01:34,101.705498,2.75187
WA9451M,2023-09-07T06:02:04,101.705658,2.75198
WA9451M,2023-09-07T06:02:35,101.705658,2.75212
