vehicle_reg_No,MYT_TIMESTAMP,longitude,latitude
WB2225C,2023-09-12T21:10:22,101.710999,2.74675
WB2225C,2023-09-12T21:10:52,101.712341,2.74772
WB2225C,2023-09-12T21:11:22,101.712662,2.74882
WB2225C,2023-09-12T21:11:52,101.712662,2.74837
WB2225C,2023-09-12T21:12:22,101.712502,2.74825
WB2225C,2023-09-12T21:12:52,101.712341,2.74763
WB2225C,2023-09-12T21:13:22,101.710999,2.74678
WB2225C,2023-09-12T21:13:52,101.710663,2.74573
WB2225C,2023-09-12T21:14:22,101.71151,2.74385
WB2225C,2023-09-12T21:15:22,101.71434,2.73953
WB2225C,2023-09-12T21:15:52,101.715492,2.7378
WB2225C,2023-09-12T21:16:22,101.717148,2.73542
WB2225C,2023-09-12T21:16:52,101.718987,2.73267
WB2225C,2023-09-12T21:17:22,101.719498,2.73168
WB2225C,2023-09-12T21:17:52,101.718163,2.73348
WB2225C,2023-09-12T21:18:22,101.716316,2.73608
WB2225C,2023-09-12T21:18:52,101.714844,2.73818
WB2225C,2023-09-12T21:19:22,101.713669,2.7401
WB2225C,2023-09-12T21:20:22,101.710663,2.7445
WB2225C,2023-09-12T21:20:52,101.709671,2.74558
WB2225C,2023-09-12T21:21:22,101.708328,2.74802
WB2225C,2023-09-12T21:21:52,101.706169,2.75102
WB2225C,2023-09-12T21:22:22,101.705833,2.75215
WB2225C,2023-09-12T21:22:52,101.705498,2.75178
WB2225C,2023-09-12T21:23:22,101.705658,2.75203
WB2225C,2023-09-12T21:23:52,101.705658,2.75202
WB2225C,2023-09-12T21:24:22,101.705833,2.75203
WB2225C,2023-09-12T21:24:52,101.706009,2.75197
WB2225C,2023-09-12T21:25:22,101.706009,2.75197
WB2225C,2023-09-12T21:25:52,101.706009,2.75198
WB2225C,2023-09-12T21:26:22,101.706009,2.752
WB2225C,2023-09-12T21:26:52,101.706009,2.75208
WB2225C,2023-09-12T21:27:22,101.706009,2.75207
WB2225C,2023-09-12T21:27:52,101.706009,2.75213
