vehicle_reg_No,longitude,latitude
WB654L,101.706841,2.75088
WB654L,101.706841,2.75088
WB654L,101.710999,2.74638
WB654L,101.710999,2.74608
WB654L,101.710999,2.74672
WB654L,101.710999,2.74597
WB654L,101.710999,2.74633
WB654L,101.710999,2.74623
WB654L,101.710999,2.7461
WB654L,101.710999,2.74603
WB654L,101.708839,2.74723
WB654L,101.708839,2.74765
WB654L,101.708839,2.7472
WB654L,101.705658,2.75152
WB654L,101.705658,2.75193
WB654L,101.705658,2.75165
WB654L,101.705658,2.75183
WB654L,101.705658,2.75192
WB654L,101.705658,2.752
WB654L,101.705658,2.75203
WB654L,101.705658,2.752
WB654L,101.705658,2.75198
WB654L,101.705658,2.75195
WB654L,101.705658,2.75152
WB654L,101.705658,2.75202
WB654L,101.705658,2.75192
WB654L,101.705658,2.75155
WB654L,101.705658,2.75198
WB654L,101.705658,2.75152
WB654L,101.705658,2.75208
WB654L,101.705658,2.75202
WB654L,101.705658,2.75203
WB654L,101.705658,2.752
WB654L,101.705658,2.752
WB654L,101.705658,2.75233
WB654L,101.705658,2.752
WB654L,101.705658,2.75193
WB654L,101.709,2.74685
WB654L,101.708656,2.74738
WB654L,101.708656,2.74732
WB654L,101.708656,2.74735
WB654L,101.708656,2.74735
WB654L,101.708656,2.74737
WB654L,101.711998,2.7474
WB654L,101.711998,2.74827
WB654L,101.711998,2.7478
WB654L,101.711998,2.74778
WB654L,101.711998,2.74805
WB654L,101.707001,2.75053
WB654L,101.719337,2.73193
WB654L,101.71434,2.73935
WB654L,101.709343,2.74715
WB654L,101.709343,2.74682
WB654L,101.709343,2.74697
WB654L,101.709343,2.74707
WB654L,101.712341,2.74745
WB654L,101.712341,2.74805
WB654L,101.712341,2.74795
WB654L,101.712341,2.74745
WB654L,101.712341,2.74798
WB654L,101.712341,2.74793
WB654L,101.712341,2.74752
WB654L,101.712341,2.7476
WB654L,101.712341,2.7484
WB654L,101.712341,2.74762
WB654L,101.712341,2.74832
WB654L,101.712341,2.74818
WB654L,101.70916,2.74672
WB654L,101.70916,2.7466
WB654L,101.712502,2.74863
WB654L,101.712502,2.74825
WB654L,101.712502,2.74853
WB654L,101.712502,2.74832
WB654L,101.712502,2.74843
WB654L,101.712502,2.74765
WB654L,101.712502,2.74865
WB654L,101.712502,2.7487
WB654L,101.712502,2.74803
WB654L,101.712502,2.74868
WB654L,101.712502,2.74837
WB654L,101.707161,2.75032
WB654L,101.712158,2.74785
WB654L,101.712158,2.74742
WB654L,101.712158,2.74828
WB654L,101.712158,2.7474
WB654L,101.712158,2.74745
WB654L,101.712158,2.74813
WB654L,101.712158,2.74745
WB654L,101.712158,2.74745
WB654L,101.710503,2.74532
WB654L,101.710503,2.74633
WB654L,101.710503,2.74545
WB654L,101.708504,2.74753
WB654L,101.716499,2.73607
WB654L,101.717842,2.73388
WB654L,101.712662,2.74857
WB654L,101.712662,2.74858
WB654L,101.712662,2.74858
WB654L,101.712662,2.74858
WB654L,101.712662,2.74858
WB654L,101.712662,2.74827
WB654L,101.712662,2.74862
WB654L,101.712662,2.74787
WB654L,101.712662,2.74873
WB654L,101.712662,2.74793
WB654L,101.712662,2.74873
WB654L,101.712662,2.74848
WB654L,101.712662,2.74818
WB654L,101.712662,2.74795
WB654L,101.712662,2.74873
WB654L,101.712662,2.74857
WB654L,101.712662,2.74825
WB654L,101.712662,2.74837
WB654L,101.712662,2.74822
WB654L,101.712662,2.7481
WB654L,101.712662,2.74857
WB654L,101.712662,2.74865
WB654L,101.712662,2.74867
WB654L,101.712662,2.74863
WB654L,101.712662,2.74863
WB654L,101.712662,2.74863
WB654L,101.712662,2.74863
WB654L,101.712662,2.74862
WB654L,101.712662,2.74862
WB654L,101.712662,2.74863
WB654L,101.712662,2.74862
WB654L,101.712662,2.7486
WB654L,101.712662,2.7486
WB654L,101.712662,2.74857
